t,des_x,des_y,act_x,act_y,v,omega
24.996413,3.835878,5.292595,3.800907,5.462494,0.716320,-0.106567
25.096444,3.850653,5.226088,3.823089,5.390909,0.686546,-0.134283
25.196392,3.865423,5.160258,3.843379,5.322785,0.671687,-0.151522
25.296416,3.880210,5.095037,3.862106,5.256315,0.663604,-0.159078
25.396420,3.895000,5.030523,3.879527,5.190571,0.657321,-0.157946
25.496389,3.909791,4.966763,3.895715,5.125229,0.650818,-0.149212
25.596419,3.924597,4.903733,3.910718,5.060274,0.643792,-0.133758
25.696407,3.939403,4.841534,3.924608,4.995787,0.635838,-0.112461
25.796390,3.954215,4.780178,3.937485,4.931885,0.627179,-0.086301
25.896404,3.969037,4.719682,3.949698,4.867397,0.612501,-0.054013
25.996402,3.983863,4.660109,3.960783,4.805268,0.604342,-0.019409
26.096444,3.998702,4.601461,3.971317,4.744128,0.596610,0.016383
26.196396,4.013534,4.543852,3.981559,4.683782,0.587982,0.051610
26.296417,4.028383,4.487228,3.988342,4.643972,0.665910,0.073020
26.396411,4.043234,4.431678,3.999203,4.581305,0.638027,0.105884
26.496454,4.058098,4.377199,4.010800,4.516339,0.596258,0.137577
26.596461,4.072964,4.323874,4.022460,4.454980,0.565707,0.167028
26.696417,4.087828,4.271744,4.034221,4.397491,0.547411,0.186393
26.796408,4.102704,4.220802,4.046477,4.342453,0.534644,0.198417
26.896445,4.117594,4.171079,4.059435,4.289106,0.523716,0.203778
26.996403,4.132478,4.122675,4.073174,4.237169,0.512686,0.203620
27.096406,4.147375,4.075564,4.087681,4.186601,0.501283,0.198575
27.196445,4.162285,4.029790,4.102890,4.137437,0.489324,0.189400
27.296443,4.177194,3.985423,4.118707,4.089722,0.476626,0.176965
27.396406,4.192105,3.942497,4.135010,4.043509,0.463305,0.162165
27.496447,4.207035,3.900999,4.151670,3.998838,0.449691,0.145826
27.596461,4.221967,3.861011,4.162910,3.969918,0.498845,0.116079
27.696428,4.236898,3.822577,4.180493,3.926323,0.475582,0.102941
27.796470,4.251848,3.785686,4.199527,3.880856,0.436765,0.097735
27.896465,4.266797,3.750420,4.217736,3.838582,0.405350,0.092876
27.996469,4.281754,3.716796,4.234971,3.799645,0.381974,0.089567
28.096472,4.296718,3.684853,4.251483,3.763287,0.363207,0.089540
28.196472,4.311688,3.654628,4.267462,3.728957,0.346555,0.094175
28.296442,4.326660,3.626166,4.282998,3.696374,0.330709,0.104496
28.396455,4.341646,3.599482,4.298130,3.665432,0.315247,0.121262
28.496471,4.356639,3.574625,4.312882,3.636090,0.299889,0.145111
28.596436,4.371631,3.551643,4.327279,3.608346,0.284518,0.176543
28.696455,4.386639,3.530549,4.341351,3.582219,0.269315,0.215877
28.796457,4.401650,3.511396,4.355135,3.557730,0.254297,0.263320
28.896457,4.416669,3.494215,4.368680,3.534900,0.239623,0.318826
28.996442,4.431692,3.479047,4.377633,3.520563,0.257091,0.348618
29.096440,4.446724,3.465923,4.391501,3.499642,0.236915,0.421938
29.196448,4.461764,3.454880,4.405986,3.479384,0.212827,0.515213
29.296467,4.476813,3.445955,4.419919,3.461625,0.194103,0.611166
29.396443,4.491863,3.439190,4.433407,3.446228,0.180769,0.701131
29.496464,4.506927,3.434614,4.446752,3.432823,0.171663,0.782107
29.596464,4.521994,3.432268,4.460216,3.421132,0.165888,0.853440
29.696462,4.537069,3.432187,4.474003,3.410984,0.163128,0.914751
29.796450,4.552149,3.434408,4.488153,3.402372,0.164253,0.962936
29.896462,4.567240,3.438967,4.503027,3.395137,0.168402,1.001497
29.996463,4.582336,3.445901,4.518837,3.389294,0.175837,1.030689
30.096428,4.597419,3.454288,4.535785,3.384938,0.187688,1.043971
30.196467,4.612488,3.463052,4.553877,3.382215,0.201329,1.046727
30.296435,4.627521,3.472179,4.573262,3.381388,0.222978,1.021337
30.396456,4.642534,3.481682,4.587540,3.382083,0.253936,0.986267
30.496485,4.657522,3.491555,4.610532,3.385296,0.267472,0.966725
30.596482,4.672478,3.501795,4.636185,3.391642,0.268691,0.963517
30.696484,4.687406,3.512406,4.661751,3.400755,0.268369,0.956495
